Estado,Sumatoria,Mediana,Varianza
Healthy,3.243765337395413e-07,7.324023658428655e-10,3.872168999188053e-06
Healthy,2.8576646204182816e-07,4.143080557007304e-10,3.2468750284766096e-06
Healthy,2.5322480025611553e-07,3.0374410789000777e-10,2.963667048456599e-06
Healthy,2.8388669199986093e-07,2.288068647345529e-10,3.2471117695937354e-06
Healthy,2.6052535559858315e-07,3.0946476223705226e-10,3.019963537891963e-06
Healthy,9.541267730478836e-08,4.538421384800254e-11,1.0906422879293275e-06
Healthy,8.808109833166759e-08,4.748164305727102e-11,9.974395547443307e-07
Healthy,9.107076941698734e-08,6.395418499904643e-11,1.0215279466380316e-06
Healthy,1.0396028859415835e-07,8.914814732568938e-11,1.190929330877915e-06
Healthy,7.670694105574337e-08,4.1598018713479296e-11,8.594219372234059e-07
Healthy,8.69862655162594e-08,5.344471722452905e-11,9.87820323234306e-07
Healthy,8.330797172366916e-08,6.535494585666107e-11,9.652210634636603e-07
Healthy,1.0927645479943063e-07,1.0392837120788444e-10,1.2499665560638014e-06
Healthy,6.947074717667922e-08,6.073014166992621e-11,7.999219381716359e-07
Healthy,9.487576595051405e-08,9.197161227060694e-11,1.1156589635525163e-06
Healthy,1.005161079482327e-06,7.658895984171388e-10,1.1626296436989429e-05
Healthy,8.908156902636178e-07,8.536438124312792e-10,1.027901787583911e-05
Healthy,8.260758782420754e-07,6.102188332643131e-09,1.1510194957479554e-05
Healthy,7.251170826768912e-07,5.595934158696396e-09,1.0589728796650697e-05
Healthy,6.39719208696629e-07,4.615186928398152e-09,9.247084565965932e-06
Healthy,7.631759536746539e-07,6.438251784676438e-09,1.073175376967708e-05
Healthy,4.773613596887727e-07,3.7499130015104815e-09,7.47782409499317e-06
Healthy,7.112508816575771e-07,3.7251153652519224e-09,9.520604114728996e-06
Healthy,6.55856555377891e-07,1.0664999610081439e-08,1.1909975251492516e-05
Healthy,1.8555455200988468e-07,7.160958891613011e-10,2.234608126099228e-06
Healthy,1.5956761253210532e-07,4.711086312488565e-10,1.930040546248369e-06
Healthy,1.7653575659986535e-07,5.727289317922338e-10,2.1513780857333407e-06
Healthy,1.8990904144157633e-07,7.755910852444142e-10,2.4055846142451383e-06
Healthy,1.2973492436202805e-07,6.661015286028099e-10,1.68974961476808e-06
Healthy,1.7206037527704196e-07,5.868056465801722e-10,2.238159279882889e-06
Healthy,6.849270276488504e-07,1.7283045288244856e-09,8.14024133267757e-06
Healthy,8.024269006657614e-07,2.206443198135352e-09,9.454421351773313e-06
Healthy,7.90709951666096e-07,1.9116865735832925e-09,9.204583316859957e-06
Healthy,3.3985923633887973e-07,1.2559850117848908e-09,4.353667019620817e-06
Healthy,1.2081791952409361e-06,1.0440466476477213e-08,1.6968667477662816e-05
Healthy,8.063829914351914e-07,1.0831313398488726e-08,1.2473955466255853e-05
Healthy,8.25275908663695e-07,7.671930970495798e-09,1.2182466699279963e-05
Healthy,5.47631064212159e-07,5.335365485884455e-09,8.113413681427132e-06
Healthy,4.918982750077697e-07,5.420724735819556e-09,7.234044620029233e-06
Healthy,2.9898352154075347e-07,1.7990361171407509e-09,4.164644554507289e-06
Healthy,5.931009626066126e-07,4.350014898093193e-09,8.093127870422984e-06
Healthy,3.8128977683483126e-07,3.948912848238957e-09,5.444936882660199e-06
Healthy,5.390982213328024e-07,4.100192381142293e-09,7.548283873908699e-06
Healthy,5.052198691561101e-07,3.4761898517656444e-09,6.936131998189109e-06
Healthy,1.4552820105767042e-07,2.0017804524100894e-09,2.351018985723562e-06
Healthy,1.7925964836026685e-07,1.276465300134177e-09,2.5026234554287647e-06
Healthy,2.615379655333783e-06,2.2741271909804622e-07,0.000431804163769569
Healthy,3.661911935815472e-06,2.305772637493191e-07,0.00043781065724383467
Healthy,2.163070713839505e-06,1.3556744334498837e-07,0.00026674742386325305
Healthy,1.976048986325861e-06,1.2877362767237132e-07,0.0002161483699254666
Healthy,2.043713614488893e-06,1.422737649257067e-07,0.000275002227052192
Healthy,2.266938028563354e-06,1.5429407773800518e-07,0.0002626533772811561
Healthy,1.3976777986126728e-06,8.476645286409194e-08,0.0001603516605410162
Healthy,1.1553005132243825e-06,1.0484004133283372e-09,1.32167317787763e-05
Healthy,2.6504896130599714e-06,7.137154029691394e-10,2.820338283300765e-05
Healthy,0.00011961617710063459,3.421463455167601e-07,0.0014782142054273165
Healthy,0.0006801868259247983,2.4427808404541648e-06,0.00916958854281971
Healthy,0.0004106056442101496,1.0351173297113951e-06,0.005509784189031496
Healthy,0.0005926009284024771,2.354933099079618e-06,0.008169319472743158
Healthy,0.0006824648353945901,2.987286802207718e-06,0.0091768561418899
Healthy,0.00035356190630104545,1.4792272781920412e-06,0.00472956833200888
Healthy,0.0003225199754779345,1.2861242555306929e-06,0.004238749608058935
Healthy,1.677724936049799e-05,2.9923572006322747e-07,0.00032289558841832217
Healthy,1.7586522051009793e-05,4.009264500570989e-07,0.00040254722771054406
Healthy,1.486847191163877e-05,2.8712731229559215e-07,0.0003214241183629079
Healthy,1.8183853203937262e-05,3.5151554426005563e-07,0.0003880120122187443
Healthy,2.258633911876145e-05,4.128251392633438e-07,0.00041073471002496455
Healthy,8.814561652020327e-05,2.8503375351255516e-07,0.0010883297404534324
Healthy,6.936182789961186e-05,2.0792131157008614e-07,0.0008399157062431444
Healthy,7.558244556866907e-05,2.2710688554855707e-07,0.0009299043088956193
Healthy,0.00010478285925828036,2.933809249531146e-07,0.0012750584931713192
Healthy,3.135896672183519e-05,4.044245127758544e-07,0.000543224129132159
Healthy,4.049676761192987e-05,5.083397922585604e-07,0.0006864433286751509
Healthy,2.7687329948277963e-05,3.8847528246082746e-07,0.0004681521175010235
Healthy,2.2827001445029782e-05,3.043852702358782e-07,0.0004083648861128408
Healthy,3.3462124572694925e-05,3.963369218297412e-07,0.0005421667847283434
Healthy,3.9142990034427295e-05,4.415326939934059e-07,0.0006490993963821426
