Estado,Sumatoria,Mediana,Varianza
Healthy,4.979329976202218e-09,4.350435764809283e-10,3.4504810706183887e-06
Healthy,6.2258829217604564e-09,2.649844567556315e-10,3.2297626037453453e-06
Healthy,4.530031209807762e-09,2.641582334912973e-10,2.8431893255351345e-06
Healthy,5.843594183101078e-09,2.2132235224953628e-10,2.98410933452236e-06
Healthy,5.507286157321161e-09,2.802007891620001e-10,2.5941860359549716e-06
Healthy,6.316440414379184e-10,3.8513745697095186e-11,8.058342788766115e-07
Healthy,7.553668409343324e-10,3.0922968939612264e-11,7.815465068131315e-07
Healthy,5.719517215750511e-10,4.4396230194915914e-11,6.93426289352722e-07
Healthy,7.707205008452686e-10,6.68105034851479e-11,1.3496238792299835e-06
Healthy,5.063743432021937e-10,3.0989765271648673e-11,6.955249356619509e-07
Healthy,5.401192681843174e-10,4.144299474046082e-11,8.212456706039783e-07
Healthy,5.739125700128632e-10,4.356550777986219e-11,7.477314366590817e-07
Healthy,3.810394149575371e-10,6.296422085503763e-11,1.0831249187317181e-06
Healthy,3.963678794308369e-10,3.599044031058368e-11,9.557573401428738e-07
Healthy,1.568239962320823e-09,7.659764397864946e-11,1.4469455183272186e-06
Healthy,4.29713606886718e-09,5.944386618494826e-10,7.606855709201382e-06
Healthy,2.3873139490502222e-09,7.145590017681112e-10,6.0940494405659105e-06
Healthy,1.4683787663265198e-08,4.998968221122496e-09,8.272477312295562e-06
Healthy,1.3506229539612426e-08,5.922193472420182e-09,9.559184053122882e-06
Healthy,1.2509021770706221e-08,4.478651409928176e-09,7.0355509902945425e-06
Healthy,7.89081132393048e-09,5.151196745930971e-09,7.70402999575809e-06
Healthy,5.283804359539612e-09,3.598016580865654e-09,6.834485877893271e-06
Healthy,1.1826995364041386e-08,2.991087745621537e-09,6.012383802909988e-06
Healthy,1.0304015344804927e-08,8.878033644309618e-09,1.3174052950321736e-05
Healthy,3.7686640440315454e-09,6.569430541201124e-10,2.3927164403054828e-06
Healthy,2.62509524109753e-09,3.878175721299143e-10,1.970067487413781e-06
Healthy,3.193599735563092e-09,4.962122624765299e-10,1.9817893796225535e-06
Healthy,2.3747662653297136e-09,6.444847943925641e-10,2.454052578762922e-06
Healthy,2.950427887944022e-09,6.062439235539186e-10,1.9548215717902545e-06
Healthy,3.7754805785981575e-09,4.2258696491737464e-10,2.7146773598411403e-06
Healthy,1.1649167543495065e-08,1.7560749760487824e-09,5.52171463462735e-06
Healthy,1.0743627757464716e-08,1.8975206905026117e-09,7.216913267037474e-06
Healthy,1.20174850407348e-08,1.63114445348946e-09,5.200901440064722e-06
Healthy,5.86321302456411e-09,1.0640242739837016e-09,4.5844092133709165e-06
Healthy,8.114334648300896e-09,8.559396061975662e-09,1.7593433872278205e-05
Healthy,1.4586147693009733e-08,8.915542598827091e-09,1.4057770788345725e-05
Healthy,1.492039176176224e-08,6.164402130970294e-09,1.2636766507768343e-05
Healthy,1.0343165257509856e-08,4.902300442024878e-09,9.232353190378593e-06
Healthy,1.4297693351968307e-08,3.4768332400194522e-09,7.618531745083592e-06
Healthy,3.373749709917025e-09,1.2622632106441944e-09,3.076297990200228e-06
Healthy,9.196815782308003e-09,3.801918297047606e-09,7.943040993145573e-06
Healthy,3.867019398640127e-09,2.6947385549005092e-09,4.6892160002960545e-06
Healthy,5.2589467772747485e-09,3.759037978626693e-09,7.12468639840034e-06
Healthy,7.717932714661171e-09,3.061445112293996e-09,6.458240946210322e-06
Healthy,2.4158534517887416e-09,1.641727023759178e-09,2.141082884824886e-06
Healthy,4.187140731807048e-09,1.085459515715769e-09,1.8457178234894295e-06
Healthy,3.854688395041778e-09,2.0132530771697817e-07,0.0003190471822977574
Healthy,8.90245016516079e-09,2.1173117838429675e-07,0.00033136374642924734
Healthy,2.351519961915988e-09,1.3039603663550243e-07,0.00019747821733236362
Healthy,2.539638490738761e-09,1.1307786042604031e-07,0.000163575122679246
Healthy,5.882219240763192e-09,1.2911319877772016e-07,0.00020266196943221804
Healthy,1.3035418691599634e-09,1.4191000737385856e-07,0.0001959444212440496
Healthy,2.0466009547596413e-09,7.923825471317082e-08,0.00011658984282233232
Healthy,6.5594040025037284e-09,7.636483188567624e-10,1.8484366135103296e-05
Healthy,1.8479949827305395e-08,4.881030251276505e-10,3.953219624276709e-05
Healthy,9.00479441211088e-07,2.0084840106156924e-07,0.0017806291555797237
Healthy,4.3554590765986975e-06,2.226981050150031e-06,0.0113215833592136
Healthy,1.6203139423400773e-06,9.334751491861187e-07,0.007282358383489149
Healthy,6.5005752329414195e-06,2.223160151473056e-06,0.010974808910141477
Healthy,3.3874635511828293e-06,2.6647276368706406e-06,0.01171221923553325
Healthy,1.8147820158011704e-06,1.221447256994762e-06,0.0062691962615599155
Healthy,1.256617429325949e-06,8.229509758928038e-07,0.005230901367970404
Healthy,1.429964231961184e-07,2.620563746224898e-07,0.0003300019946425225
Healthy,9.696307498893296e-08,3.5326534553047433e-07,0.0004095007618752845
Healthy,5.2060085237686744e-08,2.5694913500891764e-07,0.00033517166412701374
Healthy,5.829958635410237e-08,2.902754434994466e-07,0.0004012848796101343
Healthy,1.4049548408742608e-07,3.425744206116532e-07,0.0004484983047345219
Healthy,9.452864848245232e-07,1.8076124069201142e-07,0.0014007041783177469
Healthy,9.094686241718018e-07,1.6675016294235193e-07,0.0011770648305531478
Healthy,1.3152401386603912e-06,1.6750595026495473e-07,0.0012188327170399133
Healthy,1.2247389056998647e-06,2.405003152721718e-07,0.0016832199797208957
Healthy,5.8043022288214884e-08,3.434082360717713e-07,0.0006079569249742225
Healthy,2.0446998349122047e-07,4.542594819027553e-07,0.0008132456108256781
Healthy,1.335798489075641e-07,3.3706858737492325e-07,0.0005302425261707723
Healthy,6.228789284361299e-08,2.54552653074078e-07,0.0004688178897326808
Healthy,5.8118569452679094e-08,3.2032695301677207e-07,0.0006304646971109397
Healthy,1.1103561080423545e-07,4.0306993423452055e-07,0.0007785141774033615
Healthy,9.552036583676385e-08,4.551802348173513e-07,0.0006882788246343223
Healthy,1.7167482889649344e-07,1.2839927346793754e-08,0.00019554056437557466
Healthy,5.090740900527877e-07,2.53710060057236e-08,0.00038922073617595707
Healthy,1.9405502884454717e-07,1.33170272076593e-08,0.00021936656660851003
Healthy,6.434350255129574e-07,2.577376009992808e-08,0.00030867202447134814
Healthy,2.1207968581125185e-06,1.28261414458499e-06,0.007348764609021743
Healthy,4.342964280733156e-06,1.981322226168647e-06,0.009555318213711717
Healthy,2.8104608948609004e-06,2.0033872103967288e-06,0.009426439390719472
Healthy,1.0927696870961317e-06,6.282048726257197e-07,0.003208472665700316
Healthy,2.5028889894367064e-06,1.60586070297203e-06,0.009013976231863124
Healthy,3.726994024462876e-07,5.661372882614267e-07,0.0031607906402338895
Healthy,2.911805940909499e-07,5.305934199224865e-07,0.002571998434485077
Healthy,4.914626056420219e-06,2.0285846500101915e-06,0.008569386307379393
Healthy,1.832521128808344e-06,1.1358546832883891e-06,0.005874405766769883
Healthy,1.519324555556269e-07,1.4679041013345768e-07,0.0006429878057193184
Healthy,1.935527832706981e-07,2.5766130614835297e-07,0.0009797469156732554
Healthy,2.4114686676829517e-07,3.2310582890109143e-07,0.0010426033671330794
Healthy,1.269929044034174e-07,2.384717435464739e-07,0.0009332632407185663
Healthy,8.684512626256813e-08,2.631961530342983e-07,0.0009810556127495661
Healthy,5.521642323158448e-09,2.3366118048530254e-11,1.323715980270215e-06
Healthy,7.351640508816977e-09,7.277265445250731e-11,2.3327629028449444e-06
Healthy,7.163875496792836e-09,8.928054908992928e-11,2.616376038141262e-06
Healthy,6.690848690258471e-09,4.3932174095251494e-11,1.9575259388017215e-06
Healthy,4.8065605089615e-09,4.6307666712305636e-11,1.904988020786188e-06
Healthy,3.6338779555881936e-09,3.621353472269324e-11,1.2121248701989553e-06
Healthy,3.0612613127257546e-09,3.487905825862456e-11,1.2066813293077207e-06
Healthy,1.9846952755716514e-09,5.162318387196016e-10,1.3304249662033848e-06
Healthy,2.4980016870601084e-09,2.9117213439562967e-10,1.656565589099721e-06
Healthy,2.833033319520475e-09,2.6616156648364224e-10,1.8017894393795694e-06
Healthy,1.3972476816735004e-09,2.8967404167309733e-10,1.3321302914248832e-06
Healthy,1.8178630181348955e-09,4.181867098011111e-10,1.6467739139262608e-06
Healthy,2.72004714725657e-09,3.9035474299069536e-10,2.095085615988507e-06
Healthy,3.972911916129015e-09,6.319759009249594e-10,1.286201929182496e-06
Healthy,2.890215377793696e-09,3.3369541133679937e-10,1.348605384544578e-06
Healthy,2.5648758800367647e-09,4.604058138333615e-10,1.183587427572873e-06
Healthy,1.880736287480244e-09,6.361938951947508e-10,2.2371505939681754e-06
Healthy,4.9592022870035036e-09,9.010942154115995e-10,1.952092607136971e-06
Healthy,1.3355457698246743e-08,1.469351076979474e-09,3.698927453463821e-06
Healthy,2.7008080696366272e-08,1.1608014335249027e-09,3.6320688847936865e-06
Healthy,1.9976335827929605e-08,9.652417222462448e-10,3.8005957183761678e-06
Healthy,1.718322357882587e-08,9.79439520692505e-10,3.3210495372333233e-06
Healthy,2.15415051979296e-08,1.1416821747494683e-09,3.881361937878257e-06
Healthy,1.2793797048361783e-08,7.00324742355042e-10,2.8807852338466638e-06
Healthy,6.333404563789755e-09,5.88604017767111e-10,2.8610298357863487e-06
Healthy,5.536639683432985e-09,6.185262681859516e-10,2.6426661916301103e-06
Healthy,6.5116709390297e-09,6.785595364884502e-10,2.7971163677058347e-06
Healthy,6.682791434514665e-09,7.687100877165692e-10,2.973656634283172e-06
